FID,fstatus,akz,baujahr,fkt_faehig,bemerkung,oart,menge,rechts_w,hoch_w,land,gdb_geomattr_data,shape
wes.66087,2,,,3,"FLT, kein Saugrohr, beschildern",470,215,381587,5700059,100000,,POINT (381586.6799999997 5700058.68)
wes.66088,2,,,3,gezäunter Feuerlöschteich,470,190,406289,5700354,100000,,POINT (406289.38999999966 5700353.82)
wes.66089,2,,,2,"Brunnen, Funktion prüfen",450,0,376973,5703173,100000,,POINT (376973.3520999998 5703172.8234)
wes.66090,2,,,3,"FLT, mit Flachwasserzone",470,250,404249,5703843,100000,,POINT (404249.45999999996 5703843.4)
wes.66091,2,,,3,Flachspiegelbrunnen,440,0,381593,5704260,100000,,POINT (381592.70330000017 5704260.1591)
wes.66092,2,,,3,Flachspiegelbrunnen,440,0,383376,5704380,100000,,POINT (383376.2971000001 5704379.7622)
wes.66093,2,,,2,"Brunnen, Funktion prüfen",450,0,376698,5704473,100000,,POINT (376698.3706 5704473.308)
wes.66094,2,,,3,,470,160,394740,5704498,100000,,POINT (394740.3300000001 5704498.17)
wes.66095,2,,,3,Flachspiegelbrunnen,440,0,381476,5704536,100000,,POINT (381476.14740000013 5704535.636299999)
wes.66096,2,,,3,Flachspiegelbrunnen,440,0,380862,5704855,100000,,POINT (380861.92090000026 5704854.888900001)
wes.66097,2,,,3,,470,160,394916,5704863,100000,,POINT (394915.6200000001 5704863.33)
wes.66098,2,,,3,,470,160,396010,5704997,100000,,POINT (396010.36000000034 5704996.789999999)
wes.66099,2,,,3,,470,0,395821,5705712,100000,,POINT (395820.8389999997 5705711.856000001)
wes.66100,2,,,3,,470,143,405208,5708700,100000,,POINT (405207.7599999998 5708700.199999999)
wes.66101,2,,,3,,470,170,406335,5708772,100000,,POINT (406334.6799999997 5708771.720000001)
wes.66102,2,,,3,,470,460,400834,5708893,100000,,POINT (400833.83999999985 5708892.66)
wes.66103,2,,,3,,470,280,405571,5709011,100000,,POINT (405570.73000000045 5709011.23)
wes.66104,2,,,3,"Brunnen, Funktion prüfen",450,0,375748,5710036,100000,,POINT (375748.4523 5710035.7447)
wes.66105,2,,,3,,470,160,401445,5710308,100000,,POINT (401445.1900000004 5710308.0600000005)
wes.66106,2,,,3,"FLT, kein Saugrohr, beschildern",470,250,376156,5710375,100000,,POINT (376156.01999999955 5710374.800000001)
wes.66107,2,,,3,"Brunnen, Funktion prüfen",450,0,375586,5710572,100000,,POINT (375586.25569999963 5710571.8178)
wes.66108,3,108009000265,2010,3,Löschwasserteich,470,200,460656,5710911,100000,,POINT (460655.5795 5710910.6351)
wes.66109,2,,,3,"Brunnen, Funktion überprüfen",430,0,375513,5711095,100000,,POINT (375512.5892000003 5711094.975099999)
wes.66110,2,,,2,"Brunnen, Funktion prüfen",430,0,379488,5712031,100000,,POINT (379487.9927000003 5712031.4058)
wes.66111,2,,,3,"FLT, kein Saugrohr vorhanden",470,0,390708,5712577,100000,,POINT (390707.7548000002 5712576.9506)
wes.66112,2,,,3,"Brunnen, Funktion überprüfen ",440,0,374602,5713079,100000,,POINT (374601.5576999998 5713078.6009)
wes.66113,2,,,3,,470,140,452792,5713393,100000,,POINT (452791.6161000002 5713393.1329)
wes.66114,2,,,2,Funktion überprüfen,440,0,380344,5713463,100000,,POINT (380343.8463000003 5713463.2203)
wes.66115,3,108411000037,2011,3,Löschwasserbrunnen,410,0,380048,5713905,100000,,POINT (380048.0700000003 5713905.420499999)
wes.66116,2,,,3,,470,190,393511,5714026,100000,,POINT (393511.1799999997 5714026.09)
wes.66117,2,,,3,,470,160,410777,5714074,100000,,POINT (410777.4900000002 5714073.6899999995)
wes.66118,2,,,1,"Brunnen, Funktion prüfen",430,0,383710,5714159,100000,,POINT (383709.59219999984 5714158.6054)
wes.66119,3,108411000037,2011,3,,440,0,381004,5714598,100000,,POINT (381004.24870000035 5714597.7324)
wes.66120,2,,,3,,470,160,412679,5714965,100000,,POINT (412678.6299999999 5714964.58)
wes.66121,2,,,3,"Brunnen, Funktion überprüfen",430,0,380647,5715042,100000,,POINT (380647.4537000004 5715041.511499999)
wes.66122,2,,,3,,470,200,419460,5715130,100000,,POINT (419460.2866000002 5715130.4703)
wes.66123,2,,,3,,470,170,412280,5715355,100000,,POINT (412279.95999999996 5715355.199999999)
wes.66124,2,,,3,,450,0,419393,5715380,100000,,POINT (419392.77859999985 5715380.164899999)
wes.66125,2,,,3,"Brunnen, Funktion prüfen",430,0,383136,5715427,100000,,POINT (383136.17819999997 5715427.3519)
wes.66126,2,,,3,,450,0,419248,5715468,100000,,POINT (419248.1330000004 5715467.7016)
wes.66127,3,108009000318,2010,3,Löschwasserbrunnen,440,0,380118,5715546,100000,,POINT (380118.2385999998 5715545.6789)
wes.66128,2,,,3,"off. Gew. - Schmerkendorfer, kein Saugrohr vorhan.",410,0,379035,5715700,100000,,POINT (379034.6135 5715699.6559)
wes.66129,2,,,3,off. Gewässer (Rödergraben),410,0,383281,5715733,100000,,POINT (383280.8411999997 5715733.1953)
wes.66130,2,,,3,,450,0,419460,5715848,100000,,POINT (419460.2854000004 5715848.4879)
wes.66131,2,,,3,,470,160,413077,5716011,100000,,POINT (413077.2599999998 5716010.6899999995)
wes.66132,2,,,3,Zaun kaputt,470,140,454263,5716479,100000,,POINT (454263.22080000024 5716479.241599999)
wes.66133,2,,,2,"Brunnen, Funktion überprüfen ",440,0,380411,5716662,100000,,POINT (380411.3340999996 5716662.340600001)
